FEATURE_SET,PERCENTAGE,RANKING,CLASSIFIER,F1,ACC
DEP,0.2,degree,mlp,0.44844587352625936,0.8982035928143712
DEP,0.2,degree,NB,0.44844587352625936,0.8982035928143712
DEP,0.2,degree,SVM,0.44844587352625936,0.8982035928143712
DEP,0.2,degree,boosting,0.4239728320658152,0.8622754491017964
DEP,0.2,stratified,random forrest,0.4795475278233899,0.7724550898203593
DEP,0.2,stratified,decision tree,0.4997223290187535,0.8263473053892215
DEP,0.2,stratified,mlp,0.5447004608294931,0.9041916167664671
DEP,0.2,stratified,NB,0.4610182088442958,0.844311377245509
DEP,0.2,stratified,SVM,0.5447004608294931,0.9041916167664671
DEP,0.2,stratified,boosting,0.45090886760009824,0.844311377245509
DEP,0.3,betweeness,random forrest,0.4227994227994228,0.8802395209580839
DEP,0.3,betweeness,decision tree,0.3879690949227374,0.844311377245509
DEP,0.3,betweeness,mlp,0.44844587352625936,0.8982035928143712
DEP,0.3,betweeness,NB,0.27631887667623223,0.5688622754491018
DEP,0.3,betweeness,SVM,0.44844587352625936,0.8982035928143712
DEP,0.3,betweeness,boosting,0.44844587352625936,0.8982035928143712
DEP,0.3,pagerank,random forrest,0.4227994227994228,0.8802395209580839
DEP,0.3,pagerank,decision tree,0.3879690949227374,0.844311377245509
DEP,0.3,pagerank,mlp,0.44844587352625936,0.8982035928143712
DEP,0.3,pagerank,NB,0.27631887667623223,0.5688622754491018
DEP,0.3,pagerank,SVM,0.44844587352625936,0.8982035928143712
DEP,0.3,pagerank,boosting,0.44844587352625936,0.8982035928143712
DEP,0.3,degree,random forrest,0.49031373221326935,0.8982035928143712
DEP,0.3,degree,decision tree,0.44934483860658353,0.8562874251497006
DEP,0.3,degree,mlp,0.5132305349324197,0.9101796407185628
DEP,0.3,degree,NB,0.5132305349324197,0.9101796407185628
DEP,0.3,degree,SVM,0.5132305349324197,0.9101796407185628
DEP,0.3,degree,boosting,0.5132305349324197,0.9101796407185628
DEP,0.3,stratified,random forrest,0.6034293049697413,0.8562874251497006
DEP,0.3,stratified,decision tree,0.5935880099166103,0.844311377245509
DEP,0.3,stratified,mlp,0.6181818181818182,0.9161676646706587
DEP,0.3,stratified,NB,0.6077146042363434,0.8922155688622755
DEP,0.3,stratified,SVM,0.6181818181818182,0.9161676646706587
